	character	quote	image_path_local
0	Obi-Wan	I have a bad feeling about this.	/home/oks110/PM_bot/static/1/bad feeling.png
1	Nute Gunray	My Lord, is that... legal?	/home/oks110/PM_bot/static/1/legal.png
2	Obi-Wan	The negotiations were short.	/home/oks110/PM_bot/static/1/short negotiations.png
3	Bibble	A communications disruption can only mean one thing. Invasion.	/home/oks110/PM_bot/static/1/invasion.png
4	Padme	I will not condone a course of action that will lead us to war.	/home/oks110/PM_bot/static/1/lead us to war.png
5	Qui-Gon	The ability to speak does not make you intelligent.	/home/oks110/PM_bot/static/1/speak.png
6	Qui-Gon	There's always a bigger fish.	/home/oks110/PM_bot/static/1/fish.png
7	Nute Gunray	This is getting out of hand ... now there are two of them.	/home/oks110/PM_bot/static/1/two of them.png
8	Guard droid	Uh, wait. You're under arrest.	/home/oks110/PM_bot/static/1/arrest.png
9	Anakin	Are you an angel?	/home/oks110/PM_bot/static/1/angel.png
10	Watto	What you think you're some kinda Jedi, waving your hand around like that?	/home/oks110/PM_bot/static/1/waving.png
11	Obi-Wan	It's a trick. Send no reply.	/home/oks110/PM_bot/static/1/no reply.png
12	Darth Maul	At last we will have revenge.	/home/oks110/PM_bot/static/1/at last revenge.png
13	Anakin	It's working! It's working!	/home/oks110/PM_bot/static/1/working.png
14	Obi-Wan	Why do I sense we've picked up another pathetic life form?	/home/oks110/PM_bot/static/1/pathetic lifeform.png
15	Qui-Gon	Anakin, drop!	/home/oks110/PM_bot/static/1/drop.png
16	Palpatine	A surprise, to be sure, but a welcome one.	/home/oks110/PM_bot/static/1/surprise.png
17	Anakin	I'll try spinning, that's a good trick.	/home/oks110/PM_bot/static/1/spinning.png
18	Obi-Wan	No!	/home/oks110/PM_bot/static/1/no_obi.png
19	Anakin	Now, this is podracing!	/home/oks110/PM_bot/static/1/podracing.png
20	Qui-Gon	He is the chosen one. He will bring balance.	/home/oks110/PM_bot/static/1/chosen one.png
21	Palpatine	We will watch your career with great interest.	/home/oks110/PM_bot/static/1/great interest.png
22	Yoda	Always two there are.... no more... no less.	/home/oks110/PM_bot/static/1/always two.png
23	Captain Typho	I guess I was wrong, there was no danger at all.	/home/oks110/PM_bot/static/2/no danger.png
24	Padme	Ani? My goodness, you've grown.	/home/oks110/PM_bot/static/2/ani grown.png
25	Obi-Wan	Possibly.	/home/oks110/PM_bot/static/2/possibly.png
26	Obi-Wan	Well, you've lost him.	/home/oks110/PM_bot/static/2/lost him.png
